Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.44     0.00    22002     0.00     0.00  std::deque<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.44     0.00    22002     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.44     0.00    22001     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.44     0.00    22000     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::end()
  0.00      0.44     0.00    22000     0.00     0.00  std::deque<bool, std::allocator<bool> >::~deque()
  0.00      0.44     0.00    22000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.44     0.00    22000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::stack<std::deque<int, std::allocator<int> >, void>()
  0.00      0.44     0.00    19000     0.00     0.00  void std::__uninitialized_fill_a<bool*, bool, bool>(bool*, bool*, bool const&, std::allocator<bool>&)
  0.00      0.44     0.00    16000     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.44     0.00    16000     0.00     0.00  std::_Deque_base<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_destroy_nodes(std::deque<bool, std::allocator<bool> >**, std::deque<bool, std::allocator<bool> >**)
  0.00      0.44     0.00    14740     0.00     0.00  void std::__partial_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00    13360     0.00     0.00  void std::__uninitialized_move_fill<std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >(std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>, std::deque<bool, std::allocator<bool> > const&, std::allocator<std::deque<bool, std::allocator<bool> > >&)
  0.00      0.44     0.00    11984     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_erase_at_end(std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*>)
  0.00      0.44     0.00    11980     0.00     0.00  std::deque<bool, std::allocator<bool> >::_S_max_size(std::allocator<bool> const&)
  0.00      0.44     0.00     9029     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::_M_reserve_elements_at_front(unsigned long)
