Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.44     0.00    16000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::end()
  0.00      0.44     0.00    16000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::begin()
  0.00      0.44     0.00    15039     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_initialize_map(unsigned long)
  0.00      0.44     0.00    14737     0.00     0.00  std::_Deque_iterator<int, int&, int*> std::move_backward<std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>)
  0.00      0.44     0.00    14071     0.00     0.00  void std::__sort_heap<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter&)
  0.00      0.44     0.00    13554     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.44     0.00    12000     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.44     0.00    12000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.44     0.00     9040     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_destroy_nodes(bool**, bool**)
  0.00      0.44     0.00     9001     0.00     0.00  void std::__partial_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     9000     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_destroy_nodes(std::deque<int, std::allocator<int> >**, std::deque<int, std::allocator<int> >**)
  0.00      0.44     0.00     8000     0.00     0.00  Graph::fillOrder(int, std::deque<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  0.00      0.44     0.00     6020     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::resize(unsigned long)
  0.00      0.44     0.00     6004     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.44     0.00     6002     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_Deque_iterator(std::_Deque_iterator<bool, bool&, bool*> const&)
  0.00      0.44     0.00     6000     0.00     0.00  std::allocator<std::deque<int, std::allocator<int> >*>::allocator<std::deque<int, std::allocator<int> > >(std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.44     0.00     4515     0.00     0.00  void std::__introsort_loop<std::_Deque_iterator<int, int&, int*>, long, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, long, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     4501     0.00     0.00  std::operator-(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&)
  0.00      0.44     0.00     3022     0.00     0.00  void std::__insertion_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     3003     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_create_nodes(std::deque<int, std::allocator<int> >**, std::deque<int, std::allocator<int> >**)
  0.00      0.44     0.00     3002     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.44     0.00     3001     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator*() const
  0.00      0.44     0.00     3000     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.44     0.00     3000     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_destroy_nodes(int**, int**)
  0.00      0.44     0.00     3000     0.00     0.00  std::allocator_traits<std::allocator<std::deque<int, std::allocator<int> > > >::deallocate(std::allocator<std::deque<int, std::allocator<int> > >&, std::deque<int, std::allocator<int> >*, unsigned long)
  0.00      0.44     0.00     3000     0.00     0.00  std::deque<bool, std::allocator<bool> >::_S_max_size(std::allocator<bool> const&)
  0.00      0.44     0.00     3000     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.44     0.00     3000     0.00     0.00  void std::__fill_a<std::_Deque_iterator<bool, bool&, bool*>, bool>(std::_Deque_iterator<bool, bool&, bool*>, std::_Deque_iterator<bool, bool&, bool*>, bool const&)
  0.00      0.44     0.00     3000     0.00     0.00  std::operator+(std::_Deque_iterator<bool, bool&, bool*> const&, long)
  0.00      0.44     0.00     3000     0.00     0.00  std::operator+(std::_Deque_iterator<int, int&, int*> const&, long)
  0.00      0.44     0.00     2365     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator+=(long)
  0.00      0.44     0.00     2365     0.00     0.00  std::operator!=(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&)
  0.00      0.44     0.00     1833     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.44     0.00     1560     0.00     0.00  void std::__fill_a1<bool, bool>(std::_Deque_iterator<bool, bool&, bool*> const&, std::_Deque_iterator<bool, bool&, bool*> const&, bool const&)
  0.00      0.44     0.00     1503     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_create_nodes(int**, int**)
  0.00      0.44     0.00     1500     0.00     0.00  Graph::DFS(int, std::deque<bool, std::allocator<bool> >&, std::deque<int, std::allocator<int> >&)
  0.00      0.44     0.00     1500     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00      0.44     0.00     1481     0.00     0.00  std::operator-(std::_Deque_iterator<int, int&, int*> const&, long)
  0.00      0.44     0.00      539     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_Deque_iterator(bool*, bool**)
  0.00      0.44     0.00      326     0.00     0.00  void std::_Destroy<std::_Deque_iterator<bool, bool&, bool*> >(std::_Deque_iterator<bool, bool&, bool*>, std::_Deque_iterator<bool, bool&, bool*>)
  0.00      0.44     0.00      248     0.00     0.00  void std::__final_insertion_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00      238     0.00     0.00  std::_Deque_iterator<int, int&, int*> std::__unguarded_partition<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00      168     0.00     0.00  void std::__uninitialized_default_1<false>::__uninit_default<std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> >(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>)
  0.00      0.44     0.00      160     0.00     0.00  void std::__uninitialized_default_a<std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::deque<int, std::allocator<int> > >(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::allocator<std::deque<int, std::allocator<int> > >&)
  0.00      0.44     0.00      152     0.00     0.00  std::allocator_traits<std::allocator<bool*> >::deallocate(std::allocator<bool*>&, bool**, unsigned long)
  0.00      0.44     0.00      152     0.00     0.00  void std::__uninitialized_fill<true>::__uninit_fill<bool*, bool>(bool*, bool*, bool const&)
  0.00      0.44     0.00      152     0.00     0.00  void std::__heap_select<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00      106     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_reserve_map_at_back(unsigned long)
  0.00      0.44     0.00       74     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.44     0.00       71     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.00      0.44     0.00       69     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::~_Deque_impl()
  0.00      0.44     0.00       65     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::~_Deque_base()
  0.00      0.44     0.00       58     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.44     0.00       41     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_deallocate_node(bool*)
  0.00      0.44     0.00       37     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_reserve_elements_at_back(unsigned long)
  0.00      0.44     0.00       37     0.00     0.00  std::deque<bool, std::allocator<bool> >::_S_check_init_len(unsigned long, std::allocator<bool> const&)
  0.00      0.44     0.00       37     0.00     0.00  void std::sort<std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>)
  0.00      0.44     0.00       29     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_deallocate_map(bool**, unsigned long)
  0.00      0.44     0.00       29     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.44     0.00       29     0.00     0.00  void std::_Destroy<std::_Deque_iterator<bool, bool&, bool*>, bool>(std::_Deque_iterator<bool, bool&, bool*>, std::_Deque_iterator<bool, bool&, bool*>, std::allocator<bool>&)
  0.00      0.44     0.00       19     0.00    23.06  Graph::printSCCs()
  0.00      0.44     0.00       19     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_Deque_impl::_Deque_impl()
  0.00      0.44     0.00       18     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.44     0.00       18     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_get_map_allocator() const
  0.00      0.44     0.00       18     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_impl::~_Deque_impl()
  0.00      0.44     0.00       18     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_base(std::allocator<bool> const&, unsigned long)
  0.00      0.44     0.00       18     0.00     0.00  std::allocator_traits<std::allocator<std::deque<int, std::allocator<int> >*> >::allocate(std::allocator<std::deque<int, std::allocator<int> >*>&, unsigned long)
  0.00      0.44     0.00       16     0.00     0.00  void std::__unguarded_insertion_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00       11     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.44     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.44     0.00        6     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_allocate_map(unsigned long)
  0.00      0.44     0.00        6     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.44     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.44     0.00        4     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_get_Tp_allocator()
  0.00      0.44     0.00        4     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  0.00      0.44     0.00        4     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator++()
  0.00      0.44     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<bool> >::max_size(std::allocator<bool> const&)
  0.00      0.44     0.00        3     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.44     0.00        3     0.00     0.00  void std::_Destroy<std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> >(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>)
  0.00      0.44     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.44     0.00        2     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator[](long) const
  0.00      0.44     0.00        2     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_create_nodes(bool**, bool**)
  0.00      0.44     0.00        2     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.44     0.00        2     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::_M_set_node(std::deque<int, std::allocator<int> >**)
  0.00      0.44     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.44     0.00        2     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_destroy_data_aux(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>)
  0.00      0.44     0.00        2     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  0.00      0.44     0.00        2     0.00     0.00  void std::__make_heap<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter&)
  0.00      0.44     0.00        2     0.00     0.00  int** std::copy_backward<int**, int**>(int**, int**, int**)
  0.00      0.44     0.00        2     0.00     0.00  int** std::copy<int**, int**>(int**, int**, int**)
  0.00      0.44     0.00        2     0.00     0.00  std::operator-(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.44     0.00        1     0.00     0.03  Graph::Graph(int)
  0.00      0.44     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool*>::new_allocator()
  0.00      0.44     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::~new_allocator()
  0.00      0.44     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool>::deallocate(bool*, unsigned long)
  0.00      0.44     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator(__gnu_cxx::new_allocator<bool> const&)
  0.00      0.44     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::operator[](long) const
  0.00      0.44     0.00        1     0.00     0.00  std::allocator<std::deque<int, std::allocator<int> >*>::~allocator()
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_allocate_map(unsigned long)
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_deallocate_node(std::deque<int, std::allocator<int> >*)
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::~_Deque_base()
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.44     0.00        1     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::deque<int, std::allocator<int> >*>(std::deque<int, std::allocator<int> >*, std::deque<int, std::allocator<int> >*)
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_M_set_node(bool**)
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_Deque_iterator()
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::operator+=(long)
  0.00      0.44     0.00        1     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.44     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<std::deque<int, std::allocator<int> >*> >::deallocate(std::allocator<std::deque<int, std::allocator<int> >*>&, std::deque<int, std::allocator<int> >**, unsigned long)
  0.00      0.44     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.44     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.44     0.00        1     0.00     0.00  std::deque<bool, std::allocator<bool> >::end()
  0.00      0.44     0.00        1     0.00     0.00  std::deque<bool, std::allocator<bool> >::deque(unsigned long, bool const&, std::allocator<bool> const&)
  0.00      0.44     0.00        1     0.00     0.00  std::deque<bool, std::allocator<bool> >::~deque()
  0.00      0.44     0.00        1     0.00     0.00  int** std::__miter_base<int**>(int**)
