Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.27      0.40     0.01    16000     0.00     0.01  void std::__advance<std::_List_iterator<std::__cxx11::list<bool, std::allocator<bool> > >, long>(std::_List_iterator<std::__cxx11::list<bool, std::allocator<bool> > >&, long, std::bidirectional_iterator_tag)
  2.27      0.41     0.01     6000     0.00     0.01  std::__cxx11::_List_base<bool, std::allocator<bool> >::_M_clear()
  2.27      0.41     0.01     3000     0.00     0.04  std::__cxx11::list<bool, std::allocator<bool> >::_M_fill_initialize(unsigned long, bool const&)
  2.27      0.42     0.01                             std::_List_iterator<bool>::operator--()
  1.14      0.43     0.01  4500000     0.00     0.00  std::__cxx11::_List_base<bool, std::allocator<bool> >::_M_inc_size(unsigned long)
  1.14      0.43     0.01    16000     0.00     0.00  void std::__advance<std::_List_iterator<bool>, long>(std::_List_iterator<bool>&, long, std::bidirectional_iterator_tag)
  1.14      0.44     0.01       11     0.45     0.45  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  0.00      0.44     0.00 18000000     0.00     0.00  bool const& std::forward<bool const&>(std::remove_reference<bool const&>::type&)
  0.00      0.44     0.00  9000000     0.00     0.00  std::__cxx11::_List_base<bool, std::allocator<bool> >::_M_get_Node_allocator()
  0.00      0.44     0.00  4506000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.44     0.00  4503000     0.00     0.00  std::__cxx11::list<bool, std::allocator<bool> >::end()
  0.00      0.44     0.00  4503000     0.00     0.00  std::operator!=(std::_List_iterator<bool> const&, std::_List_iterator<bool> const&)
  0.00      0.44     0.00  4500000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<bool> >::destroy<bool>(bool*)
  0.00      0.44     0.00  4500000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<bool> >::allocate(unsigned long, void const*)
  0.00      0.44     0.00  4500000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<bool> >::construct<bool, bool const&>(bool*, bool const&)
  0.00      0.44     0.00  4500000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<bool> >::_M_max_size() const
  0.00      0.44     0.00  4500000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<bool> > >::~__allocated_ptr()
  0.00      0.44     0.00  4500000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<bool> > >::allocate(std::allocator<std::_List_node<bool> >&, unsigned long)
  0.00      0.44     0.00  4500000     0.00     0.00  std::__cxx11::_List_base<bool, std::allocator<bool> >::_M_get_node()
