Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.11     0.00    40010     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.11     0.00    40002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.00      0.11     0.00    40001     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.11     0.00    40000     0.00     0.00  std::deque<int, std::allocator<int> >* std::__addressof<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >&)
  0.00      0.11     0.00    36645     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(int&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      0.11     0.00    30001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.11     0.00    23934     0.00     0.00  bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.11     0.00    23934     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.11     0.00    23934     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.11     0.00    20202     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.11     0.00    20094     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.11     0.00    20094     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.11     0.00    20094     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.11     0.00    20094     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.11     0.00    20079     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.11     0.00    20079     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.11     0.00    20024     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.11     0.00    20005     0.00     0.00  __gnu_cxx::new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.11     0.00    20005     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.11     0.00    20005     0.00     0.00  __gnu_cxx::new_allocator<int*>::_M_max_size() const
  0.00      0.11     0.00    20005     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_map(unsigned long)
  0.00      0.11     0.00    20005     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.11     0.00    20005     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.11     0.00    20005     0.00     0.00  std::allocator_traits<std::allocator<int*> >::allocate(std::allocator<int*>&, unsigned long)
  0.00      0.11     0.00    20003     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.11     0.00    20002     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.11     0.00    20002     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.11     0.00    20002     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.11     0.00    20002     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.11     0.00    20002     0.00     0.00  std::operator==(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&)
  0.00      0.11     0.00    20002     0.00     0.00  std::operator!=(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&)
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::~_Deque_impl()
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_create_nodes(int**, int**)
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_destroy_nodes(int**, int**)
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base()
  0.00      0.11     0.00    20001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.11     0.00    20001     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.11     0.00    20001     0.00     0.00  std::deque<int, std::allocator<int> >::deque()
  0.00      0.11     0.00    20001     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.11     0.00    20000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.11     0.00    20000     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator++()
  0.00      0.11     0.00    20000     0.00     0.00  void std::_Construct<std::deque<int, std::allocator<int> >>(std::deque<int, std::allocator<int> >*)
  0.00      0.11     0.00    20000     0.00     0.00  void std::_Destroy<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >*)
  0.00      0.11     0.00    10001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.11     0.00    10001     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.11     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.11     0.00    10000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.11     0.00    10000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      0.11     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.11     0.00    10000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  0.00      0.11     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::pop()
  0.00      0.11     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.11     0.00    10000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.11     0.00    10000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.11     0.00     9996     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
